host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
1,1,Apartment,Private room,1,0.5,1,1,Real Bed,109,95,10,10,10,9,10,flexible,33
1,1,House,Entire home/apt,6,1,3,3,Real Bed,27,90,9,9,9,9,9,strict,140
1,1,Apartment,Private room,2,1,1,1,Real Bed,337,98,10,10,10,10,10,moderate,95
1,1,House,Private room,5,1,2,3,Real Bed,64,98,10,10,10,9,10,strict,60
1,0,House,Entire home/apt,2,1,1,1,Real Bed,473,96,10,10,10,10,9,strict,93
1,0,Luxury,Entire home/apt,4,1,2,3,Real Bed,467,98,10,10,10,10,9,strict,148
0,1,House,Private room,2,1,1,1,Real Bed,406,92,8,10,10,9,9,strict,70
1,0,House,Private room,1,1,1,1,Real Bed,22,98,10,10,10,9,10,strict,25
1,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,57,96,10,9,10,9,10,strict,109
0,0,Apartment,Private room,2,1,1,2,Real Bed,229,91,9,10,10,10,9,strict,60
1,1,Apartment,Entire home/apt,4,1,2,2,Real Bed,31,97,10,10,10,10,10,moderate,110
1,0,Apartment,Entire home/apt,5,1.5,2,3,Real Bed,201,98,10,10,10,10,10,strict,120
0,0,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,19,90,9,9,10,9,8,strict,135
1,1,Apartment,Entire home/apt,3,1,1,2,Real Bed,122,96,9,10,10,10,10,moderate,90
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,213,98,10,10,10,10,10,strict,130
0,1,Apartment,Entire home/apt,3,1,1,1,Real Bed,57,94,10,10,10,10,9,strict,153
0,1,House,Private room,2,1,1,1,Real Bed,53,92,9,10,10,10,9,strict,50
0,1,House,Private room,5,2,1,4,Real Bed,33,93,10,10,10,9,9,strict,46
1,1,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,84,99,10,10,10,10,10,strict,140
0,1,Apartment,Entire home/apt,3,1,1,2,Real Bed,45,91,10,10,10,9,9,strict,65
1,1,Apartment,Private room,2,1.5,1,1,Real Bed,98,95,9,10,10,9,10,strict,28
0,0,Apartment,Entire home/apt,5,1,2,2,Real Bed,28,86,9,9,9,9,9,flexible,166
1,1,Apartment,Private room,2,1,1,1,Real Bed,45,98,10,10,10,9,10,moderate,58
0,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,27,95,9,10,10,10,9,strict,105
1,1,Apartment,Private room,2,1,1,1,Real Bed,192,98,10,10,10,9,10,strict,52
0,1,House,Private room,4,1.5,1,1,Real Bed,161,94,10,10,10,10,10,strict,45
0,1,Apartment,Entire home/apt,4,1,1,2,Real Bed,85,95,9,10,10,10,9,strict,110
1,0,Apartment,Private room,2,1,1,1,Real Bed,81,94,9,9,10,9,9,strict,30
1,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,171,94,10,10,10,10,10,flexible,75
1,0,Apartment,Entire home/apt,4,1,1,2,Real Bed,18,96,10,10,10,10,10,moderate,42
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,146,97,10,10,10,10,10,strict,130
0,0,Apartment,Entire home/apt,4,1,2,3,Real Bed,10,93,9,10,10,8,10,moderate,111
1,0,Apartment,Private room,2,1,1,1,Real Bed,136,99,10,10,10,10,10,moderate,60
1,1,Apartment,Private room,2,1,1,1,Real Bed,149,98,10,10,10,10,9,strict,85
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,17,95,10,10,10,10,10,strict,97
0,0,Apartment,Private room,2,1.5,1,0,Real Bed,183,93,10,10,9,10,9,strict,50
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,51,84,8,8,9,9,8,strict,120
0,0,Apartment,Entire home/apt,6,1,2,3,Real Bed,150,84,9,9,9,9,9,strict,120
0,1,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,15,91,10,10,10,8,9,strict,75
1,0,Apartment,Private room,2,1,1,1,Real Bed,171,97,10,10,10,10,10,moderate,57
1,1,Apartment,Entire home/apt,4,1,2,2,Real Bed,38,98,9,10,10,9,10,moderate,170
1,1,House,Private room,2,1,1,1,Real Bed,166,96,10,10,10,10,10,strict,50
1,1,Apartment,Private room,2,1,1,1,Real Bed,17,99,10,10,10,10,9,strict,40
0,0,Apartment,Private room,1,1,1,1,Real Bed,151,99,10,10,10,10,10,moderate,69
